MUNICIPIO,REGIAO_ID,NUM_DOSES,ANO
110001 ALTA FLORESTA D\'OESTE,,"23,580",2004
110002 ARIQUEMES,,"80,946",2004
110003 CABIXI,,"6,640",2004
110004 CACOAL,,"73,671",2004
110005 CEREJEIRAS,,"16,322",2004
110006 COLORADO DO OESTE,,"14,815",2004
110007 CORUMBIARA,,"8,312",2004
110008 COSTA MARQUES,,"12,445",2004
110009 ESPIGAO D\'OESTE,,"25,330",2004
110010 GUAJARA-MIRIM,,"55,009",2004
110011 JARU,,"49,425",2004
110012 JI-PARANA,,"95,860",2004
110013 MACHADINHO D\'OESTE,,"28,593",2004
110014 NOVA BRASILANDIA D\'OESTE,,"17,663",2004
110015 OURO PRETO DO OESTE,,"38,319",2004
110018 PIMENTA BUENO,,"29,150",2004
110020 PORTO VELHO,,"365,131",2004
110025 PRESIDENTE MEDICI,,"20,743",2004
110026 RIO CRESPO,,"3,203",2004
110028 ROLIM DE MOURA,,"39,247",2004
110029 SANTA LUZIA D\'OESTE,,"7,504",2004
110030 VILHENA,,"61,675",2004
110032 SAO MIGUEL DO GUAPORE,,"22,410",2004
110033 NOVA MAMORE,,"16,039",2004
110034 ALVORADA D\'OESTE,,"19,052",2004
110037 ALTO ALEGRE DOS PARECIS,,"12,747",2004
110040 ALTO PARAISO,,"11,982",2004
110045 BURITIS,,"40,424",2004
110050 NOVO HORIZONTE DO OESTE,,"10,085",2004
110060 CACAULANDIA,,"4,989",2004
110070 CAMPO NOVO DE RONDONIA,,"15,966",2004
110080 CANDEIAS DO JAMARI,,"18,296",2004
110090 CASTANHEIRAS,,"2,738",2004
110092 CHUPINGUAIA,,"6,159",2004
110094 CUJUBIM,,"8,527",2004
110100 GOVERNADOR JORGE TEIXEIRA,,"12,798",2004
110110 ITAPUA DO OESTE,,"14,884",2004
110120 MINISTRO ANDREAZZA,,"7,962",2004
110130 MIRANTE DA SERRA,,"13,029",2004
110140 MONTE NEGRO,,"15,888",2004
110143 NOVA UNIAO,,"5,105",2004
110145 PARECIS,,"3,808",2004
110146 PIMENTEIRAS DO OESTE,,"2,717",2004
110147 PRIMAVERA DE RONDONIA,,"4,400",2004
110148 SAO FELIPE D\'OESTE,,"5,233",2004
110149 SAO FRANCISCO DO GUAPORE,,"16,277",2004
110150 SERINGUEIRAS,,"10,122",2004
110155 TEIXEIROPOLIS,,"4,705",2004
110160 THEOBROMA,,"10,864",2004
110170 URUPA,,"16,524",2004
110175 VALE DO ANARI,,"11,562",2004
110180 VALE DO PARAISO,,"7,720",2004
120001 ACRELANDIA,,"10,819",2004
120005 ASSIS BRASIL,,"4,885",2004
120010 BRASILEIA,,"24,755",2004
120013 BUJARI,,"6,194",2004
120017 CAPIXABA,,"8,905",2004
120020 CRUZEIRO DO SUL,,"97,800",2004
120025 EPITACIOLANDIA,,"17,382",2004
120030 FEIJO,,"39,007",2004
120032 JORDAO,,"7,548",2004
120033 MANCIO LIMA,,"15,357",2004
120034 MANOEL URBANO,,"10,111",2004
120035 MARECHAL THAUMATURGO,,"21,411",2004
120038 PLACIDO DE CASTRO,,"20,310",2004
120039 PORTO WALTER,,"7,725",2004
120040 RIO BRANCO,,"322,696",2004
120042 RODRIGUES ALVES,,"16,280",2004
120043 SANTA ROSA DO PURUS,,"7,432",2004
120045 SENADOR GUIOMARD,,"30,146",2004
120050 SENA MADUREIRA,,"31,614",2004
120060 TARAUACA,,"36,599",2004
120070 XAPURI,,"20,270",2004
120080 PORTO ACRE,,"11,142",2004
130002 ALVARAES,,"15,184",2004
130006 AMATURA,,"11,978",2004
130008 ANAMA,,"10,851",2004
130010 ANORI,,"13,426",2004
130014 APUI,,"13,325",2004
130020 ATALAIA DO NORTE,,"20,263",2004
130030 AUTAZES,,"55,530",2004
130040 BARCELOS,,"23,076",2004
130050 BARREIRINHA,,"28,787",2004
130060 BENJAMIN CONSTANT,,"38,963",2004
130063 BERURI,,"14,032",2004
130068 BOA VISTA DO RAMOS,,"19,696",2004
130070 BOCA DO ACRE,,"17,770",2004
130080 BORBA,,"26,283",2004
130083 CAAPIRANGA,,"9,545",2004
130090 CANUTAMA,,"12,067",2004
130100 CARAUARI,,"36,774",2004
130110 CAREIRO,,"18,797",2004
130115 CAREIRO DA VARZEA,,"15,089",2004
130120 COARI,,"99,749",2004
130130 CODAJAS,,"21,271",2004
130140 EIRUNEPE,,"37,273",2004
130150 ENVIRA,,"14,155",2004
130160 FONTE BOA,,"13,098",2004
130165 GUAJARA,,"7,563",2004
130170 HUMAITA,,"46,059",2004
130180 IPIXUNA,,"18,545",2004
130185 IRANDUBA,,"32,490",2004
130190 ITACOATIARA,,"99,869",2004
130195 ITAMARATI,,"10,588",2004
130200 ITAPIRANGA,,"8,830",2004
130210 JAPURA,,"9,626",2004
130220 JURUA,,"8,775",2004
130230 JUTAI,,"18,031",2004
130240 LABREA,,"38,795",2004
130250 MANACAPURU,,"79,735",2004
130255 MANAQUIRI,,"9,705",2004
130260 MANAUS,,"1,398,685",2004
130270 MANICORE,,"37,648",2004
130280 MARAA,,"14,770",2004
130290 MAUES,,"48,370",2004
130300 NHAMUNDA,,"15,648",2004
130310 NOVA OLINDA DO NORTE,,"24,575",2004
130320 NOVO AIRAO,,"10,766",2004
130330 NOVO ARIPUANA,,"9,605",2004
130340 PARINTINS,,"118,355",2004
130350 PAUINI,,"15,108",2004
130353 PRESIDENTE FIGUEIREDO,,"27,229",2004
130356 RIO PRETO DA EVA,,"16,257",2004
130360 SANTA ISABEL DO RIO NEGRO,,"12,801",2004
130370 SANTO ANTONIO DO ICA,,"22,306",2004
130380 SAO GABRIEL DA CACHOEIRA,,"39,499",2004
130390 SAO PAULO DE OLIVENCA,,"17,594",2004
130395 SAO SEBASTIAO DO UATUMA,,"10,299",2004
130400 SILVES,,"7,375",2004
130406 TABATINGA,,"46,500",2004
130410 TAPAUA,,"21,299",2004
130420 TEFE,,"50,471",2004
130423 TONANTINS,,"13,281",2004
130426 UARINI,,"10,385",2004
130430 URUCARA,,"14,500",2004
130440 URUCURITUBA,,"16,445",2004
140002 AMAJARI,,"13,233",2004
140005 ALTO ALEGRE,,"19,690",2004
140010 BOA VISTA,,"281,287",2004
140015 BONFIM,,"22,187",2004
140017 CANTA,,"15,049",2004
140020 CARACARAI,,"23,279",2004
140023 CAROEBE,,"5,469",2004
140028 IRACEMA,,"5,538",2004
140030 MUCAJAI,,"26,200",2004
140040 NORMANDIA,,"17,955",2004
140045 PACARAIMA,,"27,069",2004
140047 RORAINOPOLIS,,"21,335",2004
140050 SAO JOAO DA BALIZA,,"5,549",2004
140060 SAO LUIZ,,"5,588",2004
140070 UIRAMUTA,,"17,670",2004
150010 ABAETETUBA,,"168,671",2004
150013 ABEL FIGUEIREDO,,"7,235",2004
150020 ACARA,,"54,473",2004
150030 AFUA,,"41,420",2004
150034 AGUA AZUL DO NORTE,,"31,775",2004
150040 ALENQUER,,"53,236",2004
150050 ALMEIRIM,,"52,454",2004
150060 ALTAMIRA,,"119,233",2004
150070 ANAJAS,,"33,170",2004
150080 ANANINDEUA,,"382,224",2004
150085 ANAPU,,"19,401",2004
150090 AUGUSTO CORREA,,"45,839",2004
150095 AURORA DO PARA,,"25,123",2004
150100 AVEIRO,,"11,847",2004
150110 BAGRE,,"23,503",2004
150120 BAIAO,,"28,999",2004
150125 BANNACH,,"3,663",2004
150130 BARCARENA,,"105,161",2004
150140 BELEM,,"1,280,253",2004
150145 BELTERRA,,"21,279",2004
150150 BENEVIDES,,"45,148",2004
150157 BOM JESUS DO TOCANTINS,,"18,017",2004
150160 BONITO,,"13,689",2004
150170 BRAGANCA,,"120,514",2004
150172 BRASIL NOVO,,"18,777",2004
150175 BREJO GRANDE DO ARAGUAIA,,"9,729",2004
150178 BREU BRANCO,,"52,986",2004
150180 BREVES,,"138,011",2004
150190 BUJARU,,"21,690",2004
150195 CACHOEIRA DO PIRIA,,"16,585",2004
150200 CACHOEIRA DO ARARI,,"17,554",2004
150210 CAMETA,,"132,848",2004
150215 CANAA DOS CARAJAS,,"28,860",2004
150220 CAPANEMA,,"51,885",2004
150230 CAPITAO POCO,,"41,718",2004
150240 CASTANHAL,,"191,376",2004
150250 CHAVES,,"26,383",2004
150260 COLARES,,"10,104",2004
150270 CONCEICAO DO ARAGUAIA,,"44,887",2004
150275 CONCORDIA DO PARA,,"26,569",2004
150276 CUMARU DO NORTE,,"9,208",2004
150277 CURIONOPOLIS,,"23,936",2004
150280 CURRALINHO,,"34,142",2004
150285 CURUA,,"12,956",2004
150290 CURUCA,,"33,220",2004
150293 DOM ELISEU,,"54,821",2004
150295 ELDORADO DOS CARAJAS,,"56,796",2004
150300 FARO,,"12,984",2004
150304 FLORESTA DO ARAGUAIA,,"24,019",2004
150307 GARRAFAO DO NORTE,,"31,699",2004
150309 GOIANESIA DO PARA,,"23,644",2004
150310 GURUPA,,"43,572",2004
150320 IGARAPE-ACU,,"41,813",2004
150330 IGARAPE-MIRI,,"76,485",2004
150340 INHANGAPI,,"12,143",2004
150345 IPIXUNA DO PARA,,"37,615",2004
150350 IRITUIA,,"28,925",2004
150360 ITAITUBA,,"130,000",2004
150370 ITUPIRANGA,,"94,239",2004
150375 JACAREACANGA,,"24,411",2004
150380 JACUNDA,,"58,122",2004
150390 JURUTI,,"56,348",2004
150400 LIMOEIRO DO AJURU,,"33,503",2004
150405 MAE DO RIO,,"33,119",2004
150410 MAGALHAES BARATA,,"8,772",2004
150420 MARABA,,"233,939",2004
150430 MARACANA,,"34,625",2004
150440 MARAPANIM,,"29,279",2004
150442 MARITUBA,,"110,331",2004
150445 MEDICILANDIA,,"33,192",2004
150450 MELGACO,,"36,239",2004
150460 MOCAJUBA,,"30,413",2004
150470 MOJU,,"62,617",2004
150480 MONTE ALEGRE,,"83,864",2004
150490 MUANA,,"29,021",2004
150495 NOVA ESPERANCA DO PIRIA,,"25,145",2004
150497 NOVA IPIXUNA,,"18,927",2004
150500 NOVA TIMBOTEUA,,"9,093",2004
150503 NOVO PROGRESSO,,"31,238",2004
150506 NOVO REPARTIMENTO,,"60,012",2004
150510 OBIDOS,,"60,253",2004
150520 OEIRAS DO PARA,,"47,094",2004
150530 ORIXIMINA,,"94,876",2004
150540 OUREM,,"17,343",2004
150543 OURILANDIA DO NORTE,,"29,464",2004
150548 PACAJA,,"47,001",2004
150549 PALESTINA DO PARA,,"11,517",2004
150550 PARAGOMINAS,,"122,437",2004
150553 PARAUAPEBAS,,"168,788",2004
150555 PAU D\'ARCO,,"8,360",2004
150560 PEIXE-BOI,,"11,050",2004
150563 PICARRA,,"16,408",2004
150565 PLACAS,,"11,654",2004
150570 PONTA DE PEDRAS,,"22,886",2004
150580 PORTEL,,"111,361",2004
150590 PORTO DE MOZ,,"34,530",2004
150600 PRAINHA,,"20,454",2004
150610 PRIMAVERA,,"11,473",2004
150611 QUATIPURU,,"14,550",2004
150613 REDENCAO,,"78,115",2004
150616 RIO MARIA,,"12,317",2004
150618 RONDON DO PARA,,"47,590",2004
150619 RUROPOLIS,,"36,079",2004
150620 SALINOPOLIS,,"35,633",2004
150630 SALVATERRA,,"17,275",2004
150635 SANTA BARBARA DO PARA,,"16,114",2004
150640 SANTA CRUZ DO ARARI,,"9,225",2004
150650 SANTA IZABEL DO PARA,,"51,846",2004
150655 SANTA LUZIA DO PARA,,"30,764",2004
150658 SANTA MARIA DAS BARREIRAS,,"18,133",2004
150660 SANTA MARIA DO PARA,,"21,657",2004
150670 SANTANA DO ARAGUAIA,,"42,451",2004
150680 SANTAREM,,"347,089",2004
150690 SANTAREM NOVO,,"5,729",2004
150700 SANTO ANTONIO DO TAUA,,"21,808",2004
150710 SAO CAETANO DE ODIVELAS,,"13,808",2004
150715 SAO DOMINGOS DO ARAGUAIA,,"36,550",2004
150720 SAO DOMINGOS DO CAPIM,,"48,105",2004
150730 SAO FELIX DO XINGU,,"58,800",2004
150740 SAO FRANCISCO DO PARA,,"17,322",2004
150745 SAO GERALDO DO ARAGUAIA,,"25,950",2004
150746 SAO JOAO DA PONTA,,"3,965",2004
150747 SAO JOAO DE PIRABAS,,"18,957",2004
150750 SAO JOAO DO ARAGUAIA,,"19,950",2004
150760 SAO MIGUEL DO GUAMA,,"41,852",2004
150770 SAO SEBASTIAO DA BOA VISTA,,"24,584",2004
150775 SAPUCAIA,,"9,720",2004
150780 SENADOR JOSE PORFIRIO,,"15,090",2004
150790 SOURE,,"23,083",2004
150795 TAILANDIA,,"67,818",2004
150796 TERRA ALTA,,"11,980",2004
150797 TERRA SANTA,,"20,514",2004
150800 TOME-ACU,,"53,294",2004
150803 TRACUATEUA,,"24,216",2004
150805 TRAIRAO,,"14,438",2004
150808 TUCUMA,,"28,092",2004
150810 TUCURUI,,"118,280",2004
150812 ULIANOPOLIS,,"31,075",2004
150815 URUARA,,"70,878",2004
150820 VIGIA,,"42,735",2004
150830 VISEU,,"99,223",2004
150835 VITORIA DO XINGU,,"10,812",2004
150840 XINGUARA,,"42,659",2004
160005 SERRA DO NAVIO,,"4,685",2004
160010 AMAPA,,"7,418",2004
160015 PEDRA BRANCA DO AMAPARI,,"7,028",2004
160020 CALCOENE,,"7,911",2004
160021 CUTIAS,,"6,111",2004
160023 FERREIRA GOMES,,"4,540",2004
160025 ITAUBAL,,"4,726",2004
160027 LARANJAL DO JARI,,"34,109",2004
160030 MACAPA,,"329,476",2004
160040 MAZAGAO,,"15,698",2004
160050 OIAPOQUE,,"29,252",2004
160053 PORTO GRANDE,,"13,570",2004
160055 PRACUUBA,,"4,219",2004
160060 SANTANA,,"106,641",2004
160070 TARTARUGALZINHO,,"12,646",2004
160080 VITORIA DO JARI,,"12,633",2004
170025 ABREULANDIA,,"2,482",2004
170030 AGUIARNOPOLIS,,"3,926",2004
170035 ALIANCA DO TOCANTINS,,"5,554",2004
170040 ALMAS,,"11,080",2004
170070 ALVORADA,,"9,139",2004
170100 ANANAS,,"11,015",2004
170105 ANGICO,,"2,571",2004
170110 APARECIDA DO RIO NEGRO,,"4,344",2004
170130 ARAGOMINAS,,"8,837",2004
170190 ARAGUACEMA,,"6,186",2004
170200 ARAGUACU,,"7,926",2004
170210 ARAGUAINA,,"149,389",2004
170215 ARAGUANA,,"6,962",2004
170220 ARAGUATINS,,"33,855",2004
170230 ARAPOEMA,,"7,904",2004
170240 ARRAIAS,,"12,811",2004
170255 AUGUSTINOPOLIS,,"19,235",2004
170270 AURORA DO TOCANTINS,,"2,770",2004
170290 AXIXA DO TOCANTINS,,"11,249",2004
170300 BABACULANDIA,,"13,881",2004
170305 BANDEIRANTES DO TOCANTINS,,"3,329",2004
