MUNICIPIO,REGIAO_ID,NUM_DOSES,ANO
110001 ALTA FLORESTA D\'OESTE,,"20,632",2002
110002 ARIQUEMES,,"84,496",2002
110003 CABIXI,,"7,202",2002
110004 CACOAL,,"67,370",2002
110005 CEREJEIRAS,,"13,027",2002
110006 COLORADO DO OESTE,,"14,327",2002
110007 CORUMBIARA,,"8,054",2002
110008 COSTA MARQUES,,"9,660",2002
110009 ESPIGAO D\'OESTE,,"22,044",2002
110010 GUAJARA-MIRIM,,"45,077",2002
110011 JARU,,"49,344",2002
110012 JI-PARANA,,"80,324",2002
110013 MACHADINHO D\'OESTE,,"27,633",2002
110014 NOVA BRASILANDIA D\'OESTE,,"12,894",2002
110015 OURO PRETO DO OESTE,,"35,066",2002
110018 PIMENTA BUENO,,"27,206",2002
110020 PORTO VELHO,,"350,285",2002
110025 PRESIDENTE MEDICI,,"17,312",2002
110026 RIO CRESPO,,"2,423",2002
110028 ROLIM DE MOURA,,"42,073",2002
110029 SANTA LUZIA D\'OESTE,,"7,282",2002
110030 VILHENA,,"62,448",2002
110032 SAO MIGUEL DO GUAPORE,,"17,769",2002
110033 NOVA MAMORE,,"14,423",2002
110034 ALVORADA D\'OESTE,,"23,502",2002
110037 ALTO ALEGRE DOS PARECIS,,"9,993",2002
110040 ALTO PARAISO,,"13,058",2002
110045 BURITIS,,"36,568",2002
110050 NOVO HORIZONTE DO OESTE,,"7,656",2002
110060 CACAULANDIA,,"4,922",2002
110070 CAMPO NOVO DE RONDONIA,,"10,381",2002
110080 CANDEIAS DO JAMARI,,"11,310",2002
110090 CASTANHEIRAS,,"2,640",2002
110092 CHUPINGUAIA,,"4,617",2002
110094 CUJUBIM,,"7,006",2002
110100 GOVERNADOR JORGE TEIXEIRA,,"11,880",2002
110110 ITAPUA DO OESTE,,"6,964",2002
110120 MINISTRO ANDREAZZA,,"8,710",2002
110130 MIRANTE DA SERRA,,"12,455",2002
110140 MONTE NEGRO,,"13,050",2002
110143 NOVA UNIAO,,"6,284",2002
110145 PARECIS,,"2,992",2002
110146 PIMENTEIRAS DO OESTE,,"2,522",2002
110147 PRIMAVERA DE RONDONIA,,"4,071",2002
110148 SAO FELIPE D\'OESTE,,"5,221",2002
110149 SAO FRANCISCO DO GUAPORE,,"11,625",2002
110150 SERINGUEIRAS,,"10,089",2002
110155 TEIXEIROPOLIS,,"5,103",2002
110160 THEOBROMA,,"10,464",2002
110170 URUPA,,"11,731",2002
110175 VALE DO ANARI,,"7,041",2002
110180 VALE DO PARAISO,,"7,744",2002
120001 ACRELANDIA,,"11,609",2002
120005 ASSIS BRASIL,,"4,761",2002
120010 BRASILEIA,,"20,262",2002
120013 BUJARI,,"7,382",2002
120017 CAPIXABA,,"10,231",2002
120020 CRUZEIRO DO SUL,,"115,207",2002
120025 EPITACIOLANDIA,,"13,016",2002
120030 FEIJO,,"27,795",2002
120032 JORDAO,,"12,074",2002
120033 MANCIO LIMA,,"18,884",2002
120034 MANOEL URBANO,,"7,807",2002
120035 MARECHAL THAUMATURGO,,"19,175",2002
120038 PLACIDO DE CASTRO,,"13,429",2002
120039 PORTO WALTER,,"11,113",2002
120040 RIO BRANCO,,"283,186",2002
120042 RODRIGUES ALVES,,"20,101",2002
120043 SANTA ROSA DO PURUS,,"5,703",2002
120045 SENADOR GUIOMARD,,"23,252",2002
120050 SENA MADUREIRA,,"42,595",2002
120060 TARAUACA,,"37,141",2002
120070 XAPURI,,"15,527",2002
120080 PORTO ACRE,,"10,478",2002
130002 ALVARAES,,"14,110",2002
130006 AMATURA,,"11,673",2002
130008 ANAMA,,"11,268",2002
130010 ANORI,,"19,811",2002
130014 APUI,,"12,521",2002
130020 ATALAIA DO NORTE,,"16,331",2002
130030 AUTAZES,,"53,414",2002
130040 BARCELOS,,"39,244",2002
130050 BARREIRINHA,,"32,747",2002
130060 BENJAMIN CONSTANT,,"48,871",2002
130063 BERURI,,"13,103",2002
130068 BOA VISTA DO RAMOS,,"14,696",2002
130070 BOCA DO ACRE,,"28,522",2002
130080 BORBA,,"38,049",2002
130083 CAAPIRANGA,,"9,734",2002
130090 CANUTAMA,,"17,318",2002
130100 CARAUARI,,"38,157",2002
130110 CAREIRO,,"23,096",2002
130115 CAREIRO DA VARZEA,,"21,641",2002
130120 COARI,,"94,389",2002
130130 CODAJAS,,"15,038",2002
130140 EIRUNEPE,,"35,463",2002
130150 ENVIRA,,"20,691",2002
130160 FONTE BOA,,"38,523",2002
130165 GUAJARA,,"22,755",2002
130170 HUMAITA,,"43,507",2002
130180 IPIXUNA,,"18,861",2002
130185 IRANDUBA,,"32,937",2002
130190 ITACOATIARA,,"91,933",2002
130195 ITAMARATI,,"21,297",2002
130200 ITAPIRANGA,,"6,632",2002
130210 JAPURA,,"7,680",2002
130220 JURUA,,"14,037",2002
130230 JUTAI,,"19,669",2002
130240 LABREA,,"50,590",2002
130250 MANACAPURU,,"79,499",2002
130255 MANAQUIRI,,"12,572",2002
130260 MANAUS,,"1,546,752",2002
130270 MANICORE,,"38,166",2002
130280 MARAA,,"19,606",2002
130290 MAUES,,"72,119",2002
130300 NHAMUNDA,,"22,606",2002
130310 NOVA OLINDA DO NORTE,,"21,443",2002
130320 NOVO AIRAO,,"12,806",2002
130330 NOVO ARIPUANA,,"14,637",2002
130340 PARINTINS,,"137,429",2002
130350 PAUINI,,"16,286",2002
130353 PRESIDENTE FIGUEIREDO,,"19,839",2002
130356 RIO PRETO DA EVA,,"17,223",2002
130360 SANTA ISABEL DO RIO NEGRO,,"11,159",2002
130370 SANTO ANTONIO DO ICA,,"22,000",2002
130380 SAO GABRIEL DA CACHOEIRA,,"63,981",2002
130390 SAO PAULO DE OLIVENCA,,"33,352",2002
130395 SAO SEBASTIAO DO UATUMA,,"9,422",2002
130400 SILVES,,"7,900",2002
130406 TABATINGA,,"93,623",2002
130410 TAPAUA,,"30,947",2002
130420 TEFE,,"70,660",2002
130423 TONANTINS,,"13,515",2002
130426 UARINI,,"13,680",2002
130430 URUCARA,,"15,652",2002
130440 URUCURITUBA,,"22,040",2002
140002 AMAJARI,,"15,065",2002
140005 ALTO ALEGRE,,"27,810",2002
140010 BOA VISTA,,"244,965",2002
140015 BONFIM,,"29,402",2002
140017 CANTA,,"8,058",2002
140020 CARACARAI,,"28,709",2002
140023 CAROEBE,,"9,283",2002
140028 IRACEMA,,"7,358",2002
140030 MUCAJAI,,"26,414",2002
140040 NORMANDIA,,"17,131",2002
140045 PACARAIMA,,"40,349",2002
140047 RORAINOPOLIS,,"23,434",2002
140050 SAO JOAO DA BALIZA,,"6,976",2002
140060 SAO LUIZ,,"11,412",2002
140070 UIRAMUTA,,"15,785",2002
150010 ABAETETUBA,,"181,923",2002
150013 ABEL FIGUEIREDO,,"7,717",2002
150020 ACARA,,"96,718",2002
150030 AFUA,,"43,542",2002
150034 AGUA AZUL DO NORTE,,"27,391",2002
150040 ALENQUER,,"100,091",2002
150050 ALMEIRIM,,"54,586",2002
150060 ALTAMIRA,,"142,629",2002
150070 ANAJAS,,"36,532",2002
150080 ANANINDEUA,,"543,998",2002
150085 ANAPU,,"16,599",2002
150090 AUGUSTO CORREA,,"82,641",2002
150095 AURORA DO PARA,,"40,556",2002
150100 AVEIRO,,"24,195",2002
150110 BAGRE,,"32,148",2002
