MUNICIPIO,REGIAO_ID,NUM_DOSES,ANO
110001 ALTA FLORESTA D\'OESTE,,"12,577",2016
110002 ARIQUEMES,,"72,278",2016
110003 CABIXI,,"1,948",2016
110004 CACOAL,,"40,866",2016
110005 CEREJEIRAS,,"9,618",2016
110006 COLORADO DO OESTE,,"9,563",2016
110007 CORUMBIARA,,"4,256",2016
110008 COSTA MARQUES,,"8,256",2016
110009 ESPIGAO D\'OESTE,,"16,859",2016
110010 GUAJARA-MIRIM,,"35,723",2016
110011 JARU,,"25,890",2016
110012 JI-PARANA,,"74,554",2016
110013 MACHADINHO D\'OESTE,,"18,897",2016
110014 NOVA BRASILANDIA D\'OESTE,,"11,398",2016
110015 OURO PRETO DO OESTE,,"18,738",2016
110018 PIMENTA BUENO,,"20,867",2016
110020 PORTO VELHO,,"367,973",2016
110025 PRESIDENTE MEDICI,,"10,044",2016
110026 RIO CRESPO,,"1,359",2016
110028 ROLIM DE MOURA,,"35,655",2016
110029 SANTA LUZIA D\'OESTE,,"3,910",2016
110030 VILHENA,,"56,473",2016
110032 SAO MIGUEL DO GUAPORE,,"12,608",2016
110033 NOVA MAMORE,,"17,944",2016
110034 ALVORADA D\'OESTE,,"13,142",2016
110037 ALTO ALEGRE DOS PARECIS,,"7,991",2016
110040 ALTO PARAISO,,"7,843",2016
110045 BURITIS,,"24,044",2016
110050 NOVO HORIZONTE DO OESTE,,"3,758",2016
110060 CACAULANDIA,,"2,444",2016
110070 CAMPO NOVO DE RONDONIA,,"2,974",2016
110080 CANDEIAS DO JAMARI,,"12,895",2016
110090 CASTANHEIRAS,,"2,137",2016
110092 CHUPINGUAIA,,"6,376",2016
110094 CUJUBIM,,"13,481",2016
110100 GOVERNADOR JORGE TEIXEIRA,,"5,264",2016
110110 ITAPUA DO OESTE,,"6,433",2016
110120 MINISTRO ANDREAZZA,,"4,019",2016
110130 MIRANTE DA SERRA,,"4,500",2016
110140 MONTE NEGRO,,"9,404",2016
110143 NOVA UNIAO,,"3,110",2016
110145 PARECIS,,"2,152",2016
110146 PIMENTEIRAS DO OESTE,,"1,475",2016
