MUNICIPIO,REGIAO_ID,NUM_DOSES,ANO
110001 ALTA FLORESTA D\'OESTE,,"20,436",2006
110002 ARIQUEMES,,"83,132",2006
110003 CABIXI,,"5,484",2006
110004 CACOAL,,"65,388",2006
110005 CEREJEIRAS,,"13,616",2006
110006 COLORADO DO OESTE,,"14,571",2006
110007 CORUMBIARA,,"6,853",2006
110008 COSTA MARQUES,,"11,314",2006
110009 ESPIGAO D\'OESTE,,"21,276",2006
110010 GUAJARA-MIRIM,,"45,232",2006
110011 JARU,,"45,712",2006
110012 JI-PARANA,,"85,682",2006
110013 MACHADINHO D\'OESTE,,"24,143",2006
110014 NOVA BRASILANDIA D\'OESTE,,"15,377",2006
110015 OURO PRETO DO OESTE,,"28,493",2006
110018 PIMENTA BUENO,,"25,976",2006
110020 PORTO VELHO,,"302,612",2006
110025 PRESIDENTE MEDICI,,"14,271",2006
110026 RIO CRESPO,,"2,497",2006
110028 ROLIM DE MOURA,,"34,620",2006
110029 SANTA LUZIA D\'OESTE,,"7,005",2006
110030 VILHENA,,"52,844",2006
110032 SAO MIGUEL DO GUAPORE,,"18,959",2006
110033 NOVA MAMORE,,"17,830",2006
110034 ALVORADA D\'OESTE,,"13,270",2006
110037 ALTO ALEGRE DOS PARECIS,,"11,861",2006
110040 ALTO PARAISO,,"11,324",2006
110045 BURITIS,,"38,885",2006
110050 NOVO HORIZONTE DO OESTE,,"8,952",2006
110060 CACAULANDIA,,"4,319",2006
110070 CAMPO NOVO DE RONDONIA,,"9,603",2006
110080 CANDEIAS DO JAMARI,,"14,366",2006
110090 CASTANHEIRAS,,"3,292",2006
110092 CHUPINGUAIA,,"6,175",2006
110094 CUJUBIM,,"7,476",2006
110100 GOVERNADOR JORGE TEIXEIRA,,"12,276",2006
110110 ITAPUA DO OESTE,,"10,753",2006
110120 MINISTRO ANDREAZZA,,"7,072",2006
110130 MIRANTE DA SERRA,,"18,487",2006
110140 MONTE NEGRO,,"15,798",2006
110143 NOVA UNIAO,,"6,344",2006
110145 PARECIS,,"3,552",2006
110146 PIMENTEIRAS DO OESTE,,"2,364",2006
110147 PRIMAVERA DE RONDONIA,,"4,143",2006
110148 SAO FELIPE D\'OESTE,,"4,321",2006
110149 SAO FRANCISCO DO GUAPORE,,"13,202",2006
110150 SERINGUEIRAS,,"10,685",2006
110155 TEIXEIROPOLIS,,"4,345",2006
110160 THEOBROMA,,"6,793",2006
110170 URUPA,,"11,328",2006
110175 VALE DO ANARI,,"7,750",2006
110180 VALE DO PARAISO,,"6,396",2006
120001 ACRELANDIA,,"13,225",2006
120005 ASSIS BRASIL,,"8,519",2006
120010 BRASILEIA,,"18,832",2006
120013 BUJARI,,"6,625",2006
120017 CAPIXABA,,"7,194",2006
120020 CRUZEIRO DO SUL,,"65,754",2006
120025 EPITACIOLANDIA,,"13,684",2006
120030 FEIJO,,"27,906",2006
120032 JORDAO,,"9,845",2006
120033 MANCIO LIMA,,"12,656",2006
120034 MANOEL URBANO,,"8,377",2006
120035 MARECHAL THAUMATURGO,,"16,867",2006
120038 PLACIDO DE CASTRO,,"15,320",2006
120039 PORTO WALTER,,"7,994",2006
120040 RIO BRANCO,,"307,592",2006
120042 RODRIGUES ALVES,,"14,014",2006
120043 SANTA ROSA DO PURUS,,"8,449",2006
120045 SENADOR GUIOMARD,,"14,925",2006
120050 SENA MADUREIRA,,"34,729",2006
120060 TARAUACA,,"34,336",2006
120070 XAPURI,,"13,338",2006
120080 PORTO ACRE,,"9,761",2006
130002 ALVARAES,,"14,882",2006
130006 AMATURA,,"7,369",2006
130008 ANAMA,,"7,943",2006
130010 ANORI,,"13,526",2006
130014 APUI,,"15,599",2006
130020 ATALAIA DO NORTE,,"12,994",2006
130030 AUTAZES,,"33,714",2006
130040 BARCELOS,,"16,893",2006
130050 BARREIRINHA,,"25,874",2006
130060 BENJAMIN CONSTANT,,"38,481",2006
130063 BERURI,,"12,445",2006
130068 BOA VISTA DO RAMOS,,"20,578",2006
130070 BOCA DO ACRE,,"24,323",2006
130080 BORBA,,"33,819",2006
130083 CAAPIRANGA,,"8,399",2006
130090 CANUTAMA,,"11,634",2006
130100 CARAUARI,,"23,154",2006
130110 CAREIRO,,"23,983",2006
130115 CAREIRO DA VARZEA,,"19,928",2006
130120 COARI,,"82,567",2006
130130 CODAJAS,,"23,286",2006
130140 EIRUNEPE,,"24,008",2006
130150 ENVIRA,,"11,264",2006
130160 FONTE BOA,,"13,822",2006
130165 GUAJARA,,"8,077",2006
130170 HUMAITA,,"38,033",2006
130180 IPIXUNA,,"16,673",2006
130185 IRANDUBA,,"42,837",2006
130190 ITACOATIARA,,"106,084",2006
130195 ITAMARATI,,"9,435",2006
130200 ITAPIRANGA,,"8,273",2006
130210 JAPURA,,"8,911",2006
130220 JURUA,,"10,257",2006
130230 JUTAI,,"16,540",2006
130240 LABREA,,"37,215",2006
130250 MANACAPURU,,"113,716",2006
130255 MANAQUIRI,,"19,503",2006
130260 MANAUS,,"1,504,384",2006
130270 MANICORE,,"34,427",2006
130280 MARAA,,"12,321",2006
130290 MAUES,,"48,047",2006
130300 NHAMUNDA,,"16,312",2006
130310 NOVA OLINDA DO NORTE,,"19,332",2006
130320 NOVO AIRAO,,"9,458",2006
130330 NOVO ARIPUANA,,"23,117",2006
130340 PARINTINS,,"107,873",2006
130350 PAUINI,,"15,766",2006
130353 PRESIDENTE FIGUEIREDO,,"27,733",2006
130356 RIO PRETO DA EVA,,"15,984",2006
