MUNICIPIO,REGIAO_ID,NUM_DOSES,ANO
110001 ALTA FLORESTA D\'OESTE,,"19,212",2003
110002 ARIQUEMES,,"67,783",2003
110003 CABIXI,,"5,810",2003
110004 CACOAL,,"56,940",2003
110005 CEREJEIRAS,,"15,267",2003
110006 COLORADO DO OESTE,,"17,458",2003
110007 CORUMBIARA,,"11,618",2003
110008 COSTA MARQUES,,"9,344",2003
110009 ESPIGAO D\'OESTE,,"21,003",2003
110010 GUAJARA-MIRIM,,"45,357",2003
110011 JARU,,"48,686",2003
110012 JI-PARANA,,"74,237",2003
110013 MACHADINHO D\'OESTE,,"24,434",2003
110014 NOVA BRASILANDIA D\'OESTE,,"15,956",2003
110015 OURO PRETO DO OESTE,,"30,658",2003
110018 PIMENTA BUENO,,"23,127",2003
110020 PORTO VELHO,,"304,399",2003
110025 PRESIDENTE MEDICI,,"16,715",2003
110026 RIO CRESPO,,"5,181",2003
110028 ROLIM DE MOURA,,"45,689",2003
110029 SANTA LUZIA D\'OESTE,,"7,916",2003
110030 VILHENA,,"62,203",2003
110032 SAO MIGUEL DO GUAPORE,,"20,206",2003
110033 NOVA MAMORE,,"14,882",2003
110034 ALVORADA D\'OESTE,,"23,432",2003
110037 ALTO ALEGRE DOS PARECIS,,"11,672",2003
110040 ALTO PARAISO,,"10,089",2003
110045 BURITIS,,"40,132",2003
110050 NOVO HORIZONTE DO OESTE,,"7,492",2003
110060 CACAULANDIA,,"4,746",2003
110070 CAMPO NOVO DE RONDONIA,,"12,351",2003
110080 CANDEIAS DO JAMARI,,"17,077",2003
110090 CASTANHEIRAS,,"2,601",2003
110092 CHUPINGUAIA,,"5,779",2003
110094 CUJUBIM,,"8,200",2003
110100 GOVERNADOR JORGE TEIXEIRA,,"11,522",2003
110110 ITAPUA DO OESTE,,"6,419",2003
110120 MINISTRO ANDREAZZA,,"7,214",2003
110130 MIRANTE DA SERRA,,"11,903",2003
110140 MONTE NEGRO,,"13,867",2003
110143 NOVA UNIAO,,"6,253",2003
110145 PARECIS,,"3,540",2003
110146 PIMENTEIRAS DO OESTE,,"3,202",2003
110147 PRIMAVERA DE RONDONIA,,"4,025",2003
110148 SAO FELIPE D\'OESTE,,"4,605",2003
110149 SAO FRANCISCO DO GUAPORE,,"14,547",2003
110150 SERINGUEIRAS,,"8,291",2003
110155 TEIXEIROPOLIS,,"4,078",2003
110160 THEOBROMA,,"9,122",2003
110170 URUPA,,"10,755",2003
110175 VALE DO ANARI,,"6,356",2003
110180 VALE DO PARAISO,,"7,108",2003
120001 ACRELANDIA,,"13,844",2003
120005 ASSIS BRASIL,,"4,618",2003
120010 BRASILEIA,,"27,459",2003
120013 BUJARI,,"7,641",2003
120017 CAPIXABA,,"9,274",2003
120020 CRUZEIRO DO SUL,,"103,842",2003
120025 EPITACIOLANDIA,,"11,782",2003
120030 FEIJO,,"35,302",2003
120032 JORDAO,,"10,898",2003
120033 MANCIO LIMA,,"17,651",2003
120034 MANOEL URBANO,,"11,655",2003
120035 MARECHAL THAUMATURGO,,"22,096",2003
120038 PLACIDO DE CASTRO,,"17,913",2003
120039 PORTO WALTER,,"9,155",2003
120040 RIO BRANCO,,"261,623",2003
120042 RODRIGUES ALVES,,"23,245",2003
120043 SANTA ROSA DO PURUS,,"8,090",2003
120045 SENADOR GUIOMARD,,"23,757",2003
120050 SENA MADUREIRA,,"27,843",2003
120060 TARAUACA,,"43,089",2003
120070 XAPURI,,"20,015",2003
120080 PORTO ACRE,,"10,409",2003
130002 ALVARAES,,"14,901",2003
130006 AMATURA,,"9,157",2003
130008 ANAMA,,"11,522",2003
130010 ANORI,,"15,931",2003
130014 APUI,,"16,529",2003
130020 ATALAIA DO NORTE,,"13,767",2003
130030 AUTAZES,,"49,123",2003
130040 BARCELOS,,"21,849",2003
130050 BARREIRINHA,,"31,120",2003
130060 BENJAMIN CONSTANT,,"40,032",2003
130063 BERURI,,"12,030",2003
130068 BOA VISTA DO RAMOS,,"16,975",2003
130070 BOCA DO ACRE,,"18,500",2003
130080 BORBA,,"29,647",2003
130083 CAAPIRANGA,,"5,470",2003
130090 CANUTAMA,,"11,577",2003
130100 CARAUARI,,"40,065",2003
130110 CAREIRO,,"20,518",2003
130115 CAREIRO DA VARZEA,,"21,212",2003
130120 COARI,,"81,203",2003
130130 CODAJAS,,"21,589",2003
130140 EIRUNEPE,,"32,533",2003
130150 ENVIRA,,"18,184",2003
130160 FONTE BOA,,"23,186",2003
130165 GUAJARA,,"23,181",2003
130170 HUMAITA,,"44,442",2003
130180 IPIXUNA,,"21,577",2003
130185 IRANDUBA,,"36,095",2003
130190 ITACOATIARA,,"87,544",2003
130195 ITAMARATI,,"16,147",2003
130200 ITAPIRANGA,,"9,512",2003
130210 JAPURA,,"6,324",2003
130220 JURUA,,"11,802",2003
130230 JUTAI,,"16,702",2003
130240 LABREA,,"35,063",2003
130250 MANACAPURU,,"64,839",2003
130255 MANAQUIRI,,"9,208",2003
130260 MANAUS,,"1,395,420",2003
130270 MANICORE,,"45,625",2003
130280 MARAA,,"16,722",2003
130290 MAUES,,"50,152",2003
130300 NHAMUNDA,,"18,556",2003
130310 NOVA OLINDA DO NORTE,,"24,535",2003
130320 NOVO AIRAO,,"8,708",2003
130330 NOVO ARIPUANA,,"11,448",2003
130340 PARINTINS,,"98,413",2003
130350 PAUINI,,"13,841",2003
130353 PRESIDENTE FIGUEIREDO,,"34,261",2003
130356 RIO PRETO DA EVA,,"18,871",2003
130360 SANTA ISABEL DO RIO NEGRO,,"7,896",2003
130370 SANTO ANTONIO DO ICA,,"16,502",2003
130380 SAO GABRIEL DA CACHOEIRA,,"59,603",2003
130390 SAO PAULO DE OLIVENCA,,"22,684",2003
130395 SAO SEBASTIAO DO UATUMA,,"9,497",2003
130400 SILVES,,"12,480",2003
130406 TABATINGA,,"58,305",2003
130410 TAPAUA,,"29,112",2003
130420 TEFE,,"51,973",2003
130423 TONANTINS,,"16,404",2003
130426 UARINI,,"12,522",2003
130430 URUCARA,,"13,875",2003
130440 URUCURITUBA,,"15,334",2003
140002 AMAJARI,,"14,136",2003
140005 ALTO ALEGRE,,"23,331",2003
140010 BOA VISTA,,"237,673",2003
140015 BONFIM,,"28,886",2003
140017 CANTA,,"10,194",2003
140020 CARACARAI,,"21,365",2003
140023 CAROEBE,,"6,498",2003
140028 IRACEMA,,"7,632",2003
140030 MUCAJAI,,"23,996",2003
140040 NORMANDIA,,"16,968",2003
140045 PACARAIMA,,"55,154",2003
140047 RORAINOPOLIS,,"17,548",2003
140050 SAO JOAO DA BALIZA,,"7,942",2003
140060 SAO LUIZ,,"9,645",2003
