NOME_MUNICIPIO,NUM_HABITANTES,ANO
Alta Floresta D'Oeste,"24,577",2008
Alto Alegre dos Parecis,"11,962",2008
Alto Paraíso,"17,169",2008
Alvorada D'Oeste,"17,009",2008
Ariquemes,"84,581",2008
Buritis,"33,879",2008
Cabixi,"6,777",2008
Cacaulândia,"5,707",2008
Cacoal,"78,263",2008
Campo Novo de Rondônia,"12,790",2008
Candeias do Jamari,"17,147",2008
Castanheiras,"3,737",2008
Cerejeiras,"16,784",2008
Chupinguaia,"7,633",2008
Colorado do Oeste,"18,216",2008
Corumbiara,"9,761",2008
Costa Marques,"13,973",2008
Cujubim,"14,122",2008
Espigão D'Oeste,"28,617",2008
Governador Jorge Teixeira,"11,793",2008
Guajará-Mirim,"40,541",2008
Itapuã do Oeste,"8,110",2008
Jaru,"53,955",2008
Ji-Paraná,"110,707",2008
Machadinho D'Oeste,"32,214",2008
Ministro Andreazza,"10,653",2008
Mirante da Serra,"12,446",2008
Monte Negro,"12,710",2008
Nova Brasilândia D'Oeste,"17,653",2008
Nova Mamoré,"21,650",2008
Nova União,"7,978",2008
Novo Horizonte do Oeste,"9,966",2008
Ouro Preto do Oeste,"37,142",2008
Parecis,"4,696",2008
Pimenta Bueno,"33,803",2008
Pimenteiras do Oeste,"2,427",2008
Porto Velho,"379,186",2008
Presidente Médici,"22,896",2008
Primavera de Rondônia,"3,819",2008
Rio Crespo,"3,260",2008
Rolim de Moura,"50,249",2008
Santa Luzia D'Oeste,"9,566",2008
São Felipe D'Oeste,"6,477",2008
São Francisco do Guaporé,"16,091",2008
São Miguel do Guaporé,"23,283",2008
Seringueiras,"12,088",2008
Teixeirópolis,"5,070",2008
Theobroma,"10,254",2008
Urupá,"13,785",2008
Vale do Anari,"8,981",2008
Vale do Paraíso,"9,008",2008
Vilhena,"68,405",2008
Acrelândia,"11,987",2008
Assis Brasil,"5,559",2008
Brasiléia,"19,829",2008
Bujari,"6,745",2008
Capixaba,"8,897",2008
Cruzeiro do Sul,"76,392",2008
Epitaciolândia,"13,960",2008
Feijó,"32,210",2008
Jordão,"6,333",2008
Mâncio Lima,"14,387",2008
