NOME_MUNICIPIO,NUM_HABITANTES,ANO
Alta Floresta D'Oeste,"24,354",2009
Alto Alegre dos Parecis,"11,875",2009
Alto Paraíso,"17,569",2009
Alvorada D'Oeste,"17,127",2009
Ariquemes,"85,541",2009
Buritis,"34,693",2009
Cabixi,"6,695",2009
Cacaulândia,"5,736",2009
Cacoal,"78,675",2009
Campo Novo de Rondônia,"12,915",2009
Candeias do Jamari,"17,547",2009
Castanheiras,"3,685",2009
Cerejeiras,"16,622",2009
Chupinguaia,"7,843",2009
Colorado do Oeste,"17,822",2009
Corumbiara,"9,680",2009
Costa Marques,"14,452",2009
Cujubim,"14,889",2009
Espigão D'Oeste,"28,892",2009
Governador Jorge Teixeira,"11,593",2009
Guajará-Mirim,"40,762",2009
Itapuã do Oeste,"8,235",2009
Jaru,"53,943",2009
Ji-Paraná,"111,010",2009
Machadinho D'Oeste,"33,159",2009
Ministro Andreazza,"10,572",2009
Mirante da Serra,"12,363",2009
Monte Negro,"12,708",2009
Nova Brasilândia D'Oeste,"17,698",2009
Nova Mamoré,"22,337",2009
Nova União,"7,944",2009
Novo Horizonte do Oeste,"9,720",2009
Ouro Preto do Oeste,"36,725",2009
Parecis,"4,802",2009
Pimenta Bueno,"33,984",2009
Pimenteiras do Oeste,"2,415",2009
Porto Velho,"382,829",2009
Presidente Médici,"22,519",2009
Primavera de Rondônia,"3,765",2009
Rio Crespo,"3,290",2009
Rolim de Moura,"50,499",2009
Santa Luzia D'Oeste,"9,348",2009
São Felipe D'Oeste,"6,412",2009
São Francisco do Guaporé,"16,491",2009
São Miguel do Guaporé,"23,201",2009
Seringueiras,"12,117",2009
Teixeirópolis,"5,010",2009
Theobroma,"10,325",2009
Urupá,"13,661",2009
Vale do Anari,"9,100",2009
Vale do Paraíso,"8,913",2009
Vilhena,"69,866",2009
Acrelândia,"12,241",2009
Assis Brasil,"5,662",2009
Brasiléia,"20,238",2009
Bujari,"6,772",2009
Capixaba,"9,287",2009
Cruzeiro do Sul,"77,004",2009
Epitaciolândia,"14,224",2009
Feijó,"32,261",2009
Jordão,"6,520",2009
Mâncio Lima,"14,774",2009
Manoel Urbano,"7,505",2009
Marechal Thaumaturgo,"14,275",2009
Plácido de Castro,"18,235",2009
Porto Acre,"14,682",2009
Porto Walter,"8,855",2009
Rio Branco,"305,954",2009
Rodrigues Alves,"13,460",2009
Santa Rosa do Purus,"4,358",2009
Sena Madureira,"36,166",2009
Senador Guiomard,"19,697",2009
Tarauacá,"33,883",2009
Xapuri,"15,079",2009
Alvarães,"13,566",2009
Amaturá,"8,828",2009
Anamã,"8,673",2009
Anori,"14,688",2009
Apuí,"18,597",2009
Atalaia do Norte,"14,715",2009
Autazes,"31,774",2009
Barcelos,"25,410",2009
Barreirinha,"28,162",2009
Benjamin Constant,"31,195",2009
Beruri,"14,705",2009
Boa Vista do Ramos,"13,994",2009
Boca do Acre,"31,221",2009
Borba,"32,496",2009
Caapiranga,"11,170",2009
Canutama,"11,948",2009
Carauari,"26,187",2009
Careiro,"32,638",2009
Careiro da Várzea,"24,704",2009
Coari,"66,991",2009
Codajás,"16,291",2009
Eirunepé,"30,901",2009
Envira,"17,614",2009
Fonte Boa,"18,803",2009
Guajará,"15,031",2009
Humaitá,"40,735",2009
Ipixuna,"18,202",2009
Iranduba,"33,884",2009
Itacoatiara,"89,440",2009
Itamarati,"8,281",2009
Itapiranga,"9,733",2009
Japurá,"4,238",2009
Juruá,"9,275",2009
Jutaí,"16,791",2009
Lábrea,"39,393",2009
Manacapuru,"86,472",2009
Manaquiri,"20,836",2009
Manaus,"1,738,641",2009
Manicoré,"46,773",2009
Maraã,"18,135",2009
Maués,"49,666",2009
Nhamundá,"18,474",2009
Nova Olinda do Norte,"31,012",2009
Novo Airão,"15,915",2009
Novo Aripuanã,"18,952",2009
Parintins,"107,250",2009
Pauini,"19,111",2009
Presidente Figueiredo,"26,282",2009
Rio Preto da Eva,"26,847",2009
Santa Isabel do Rio Negro,"18,506",2009
Santo Antônio do Içá,"30,351",2009
São Gabriel da Cachoeira,"41,885",2009
São Paulo de Olivença,"32,958",2009
São Sebastião do Uatumã,"9,268",2009
Silves,"8,543",2009
Tabatinga,"47,948",2009
Tapauá,"19,884",2009
Tefé,"64,671",2009
Tonantins,"20,286",2009
Uarini,"10,108",2009
Urucará,"15,780",2009
Urucurituba,"18,541",2009
Alto Alegre,"14,205",2009
Amajari,"8,249",2009
Boa Vista,"266,901",2009
Bonfim,"10,726",2009
Cantá,"11,942",2009
Caracaraí,"19,235",2009
Caroebe,"7,569",2009
Iracema,"6,250",2009
Mucajaí,"13,188",2009
Normandia,"7,527",2009
Pacaraima,"9,220",2009
Rorainópolis,"26,546",2009
São João da Baliza,"6,028",2009
