NOME_MUNICIPIO,NUM_HABITANTES,ANO
Alta Floresta D'Oeste,"29,005",2006
Alto Alegre dos Parecis,"15,454",2006
Alto Paraíso,"16,510",2006
Alvorada D'Oeste,"19,542",2006
Ariquemes,"86,924",2006
Buritis,"42,717",2006
Cabixi,"7,421",2006
Cacaulândia,"5,464",2006
Cacoal,"76,422",2006
Campo Novo de Rondônia,"18,619",2006
Candeias do Jamari,"17,346",2006
Castanheiras,"4,092",2006
Cerejeiras,"17,215",2006
Chupinguaia,"6,649",2006
Colorado do Oeste,"18,342",2006
Corumbiara,"9,409",2006
Costa Marques,"11,735",2006
Cujubim,"9,238",2006
Espigão D'Oeste,"27,559",2006
Governador Jorge Teixeira,"18,786",2006
Guajará-Mirim,"42,082",2006
Itapuã do Oeste,"8,699",2006
Jaru,"56,242",2006
Ji-Paraná,"113,453",2006
Machadinho D'Oeste,"29,711",2006
Ministro Andreazza,"11,223",2006
Mirante da Serra,"14,152",2006
Monte Negro,"16,881",2006
Nova Brasilândia D'Oeste,"18,005",2006
Nova Mamoré,"20,343",2006
Nova União,"9,526",2006
Novo Horizonte do Oeste,"12,916",2006
Ouro Preto do Oeste,"40,735",2006
Parecis,"3,204",2006
Pimenta Bueno,"31,415",2006
Pimenteiras do Oeste,"2,633",2006
Porto Velho,"380,974",2006
Presidente Médici,"25,313",2006
Primavera de Rondônia,"4,393",2006
Rio Crespo,"3,603",2006
Rolim de Moura,"49,907",2006
Santa Luzia D'Oeste,"11,067",2006
São Felipe D'Oeste,"7,266",2006
São Francisco do Guaporé,"17,610",2006
São Miguel do Guaporé,"31,198",2006
Seringueiras,"16,225",2006
Teixeirópolis,"5,894",2006
Theobroma,"14,326",2006
Urupá,"17,761",2006
Vale do Anari,"10,962",2006
Vale do Paraíso,"10,442",2006
Vilhena,"65,807",2006
Acrelândia,"11,786",2006
Assis Brasil,"5,153",2006
Brasiléia,"18,056",2006
Bujari,"8,751",2006
Capixaba,"7,403",2006
Cruzeiro do Sul,"86,725",2006
Epitaciolândia,"14,193",2006
Feijó,"39,365",2006
Jordão,"4,662",2006
Mâncio Lima,"13,116",2006
Manoel Urbano,"7,843",2006
Marechal Thaumaturgo,"8,482",2006
Plácido de Castro,"17,014",2006
Porto Acre,"12,335",2006
Porto Walter,"4,851",2006
Rio Branco,"314,127",2006
Rodrigues Alves,"9,989",2006
Santa Rosa do Purus,"3,583",2006
Sena Madureira,"33,614",2006
Senador Guiomard,"21,000",2006
Tarauacá,"30,711",2006
Xapuri,"13,893",2006
Alvarães,"14,776",2006
Amaturá,"9,150",2006
Anamã,"6,949",2006
Anori,"12,990",2006
Apuí,"19,694",2006
Atalaia do Norte,"11,523",2006
Autazes,"29,534",2006
Barcelos,"33,633",2006
Barreirinha,"27,069",2006
Benjamin Constant,"26,737",2006
Beruri,"13,620",2006
Boa Vista do Ramos,"12,617",2006
Boca do Acre,"28,480",2006
Borba,"36,793",2006
Caapiranga,"10,215",2006
Canutama,"9,723",2006
Carauari,"26,377",2006
Careiro,"24,499",2006
Careiro da Várzea,"16,626",2006
Coari,"87,468",2006
Codajás,"20,407",2006
Eirunepé,"30,125",2006
Envira,"13,746",2006
Fonte Boa,"39,144",2006
Guajará,"12,228",2006
Humaitá,"28,498",2006
Ipixuna,"17,806",2006
Iranduba,"42,812",2006
Itacoatiara,"81,674",2006
Itamarati,"7,919",2006
Itapiranga,"8,866",2006
Japurá,"13,096",2006
Juruá,"7,687",2006
Jutaí,"27,955",2006
Lábrea,"26,020",2006
Manacapuru,"84,656",2006
Manaquiri,"14,140",2006
Manaus,"1,688,524",2006
Manicoré,"38,168",2006
Maraã,"20,836",2006
Maués,"46,873",2006
Nhamundá,"16,864",2006
