NOME_MUNICIPIO,NUM_HABITANTES,ANO
Alta Floresta D'Oeste,"26,919",2001
Alto Alegre dos Parecis,"13,153",2001
Alto Paraíso,"13,693",2001
Alvorada D'Oeste,"19,770",2001
Ariquemes,"76,371",2001
Buritis,"28,132",2001
Cabixi,"7,501",2001
Cacaulândia,"5,355",2001
Cacoal,"73,996",2001
Campo Novo de Rondônia,"12,633",2001
Candeias do Jamari,"13,816",2001
Castanheiras,"4,189",2001
Cerejeiras,"18,012",2001
Chupinguaia,"5,701",2001
Colorado do Oeste,"21,421",2001
Corumbiara,"10,290",2001
Costa Marques,"10,679",2001
Cujubim,"6,976",2001
Espigão D'Oeste,"25,985",2001
Governador Jorge Teixeira,"14,497",2001
Guajará-Mirim,"38,679",2001
Itapuã do Oeste,"7,127",2001
Jaru,"53,150",2001
Ji-Paraná,"107,869",2001
Machadinho D'Oeste,"23,873",2001
Ministro Andreazza,"11,321",2001
Mirante da Serra,"13,306",2001
Monte Negro,"13,217",2001
Nova Brasilândia D'Oeste,"17,216",2001
Nova Mamoré,"15,692",2001
Nova União,"8,438",2001
Novo Horizonte do Oeste,"12,367",2001
Ouro Preto do Oeste,"40,836",2001
Parecis,"3,545",2001
Pimenta Bueno,"31,685",2001
Pimenteiras do Oeste,"2,544",2001
Porto Velho,"342,264",2001
Presidente Médici,"26,164",2001
Primavera de Rondônia,"4,325",2001
Rio Crespo,"3,054",2001
Rolim de Moura,"47,693",2001
Santa Luzia D'Oeste,"11,512",2001
São Felipe D'Oeste,"7,088",2001
São Francisco do Guaporé,"11,963",2001
São Miguel do Guaporé,"25,065",2001
Seringueiras,"12,409",2001
Teixeirópolis,"5,673",2001
Theobroma,"11,651",2001
Urupá,"15,354",2001
Vale do Anari,"8,246",2001
Vale do Paraíso,"9,958",2001
Vilhena,"55,513",2001
Acrelândia,"8,237",2001
Assis Brasil,"3,564",2001
Brasiléia,"17,384",2001
Bujari,"6,154",2001
Capixaba,"5,561",2001
Cruzeiro do Sul,"69,772",2001
Epitaciolândia,"11,460",2001
Feijó,"27,834",2001
Jordão,"4,490",2001
Mâncio Lima,"11,471",2001
Manoel Urbano,"6,581",2001
Marechal Thaumaturgo,"8,321",2001
Plácido de Castro,"15,502",2001
Porto Acre,"11,679",2001
Porto Walter,"5,368",2001
Rio Branco,"261,430",2001
Rodrigues Alves,"8,276",2001
Santa Rosa do Purus,"2,440",2001
Sena Madureira,"30,052",2001
Senador Guiomard,"20,330",2001
Tarauacá,"26,338",2001
Xapuri,"12,111",2001
Alvarães,"12,596",2001
Amaturá,"7,573",2001
Anamã,"6,635",2001
Anori,"11,602",2001
Apuí,"14,866",2001
Atalaia do Norte,"9,974",2001
Autazes,"25,176",2001
Barcelos,"25,728",2001
Barreirinha,"23,090",2001
Benjamin Constant,"23,813",2001
Beruri,"11,475",2001
Boa Vista do Ramos,"11,009",2001
Boca do Acre,"27,207",2001
