NOME_MUNICIPIO,NUM_HABITANTES,ANO
Alta Floresta D'Oeste,"22,728",2020
Ariquemes,"109,523",2020
Cabixi,"5,188",2020
Cacoal,"85,893",2020
Cerejeiras,"16,204",2020
Colorado do Oeste,"15,544",2020
Corumbiara,"7,220",2020
Costa Marques,"18,798",2020
Espigão D'Oeste,"32,695",2020
Guajará-Mirim,"46,556",2020
Jaru,"51,620",2020
Ji-Paraná,"130,009",2020
Machadinho D'Oeste,"40,867",2020
Nova Brasilândia D'Oeste,"20,489",2020
Ouro Preto do Oeste,"35,737",2020
Pimenta Bueno,"36,881",2020
Porto Velho,"539,354",2020
Presidente Médici,"18,571",2020
Rio Crespo,"3,804",2020
Rolim de Moura,"55,407",2020
Santa Luzia D'Oeste,"6,216",2020
Vilhena,"102,211",2020
São Miguel do Guaporé,"23,077",2020
Nova Mamoré,"31,392",2020
Alvorada D'Oeste,"14,106",2020
Alto Alegre dos Parecis,"13,255",2020
Alto Paraíso,"21,847",2020
Buritis,"40,356",2020
Novo Horizonte do Oeste,"8,329",2020
Cacaulândia,"6,269",2020
Campo Novo de Rondônia,"14,266",2020
Candeias do Jamari,"27,388",2020
Castanheiras,"2,987",2020
Chupinguaia,"11,472",2020
Cujubim,"26,183",2020
Governador Jorge Teixeira,"7,445",2020
Itapuã do Oeste,"10,641",2020
Ministro Andreazza,"9,559",2020
Mirante da Serra,"10,818",2020
Monte Negro,"16,007",2020
Nova União,"6,895",2020
Parecis,"6,198",2020
Pimenteiras do Oeste,"2,148",2020
Primavera de Rondônia,"2,776",2020
São Felipe D'Oeste,"5,066",2020
São Francisco do Guaporé,"20,681",2020
Seringueiras,"11,851",2020
Teixeirópolis,"4,233",2020
Theobroma,"10,395",2020
Urupá,"11,272",2020
Vale do Anari,"11,377",2020
Vale do Paraíso,"6,656",2020
Acrelândia,"15,490",2020
Assis Brasil,"7,534",2020
Brasiléia,"26,702",2020
Bujari,"10,420",2020
Capixaba,"12,008",2020
Cruzeiro do Sul,"89,072",2020
Epitaciolândia,"18,696",2020
Feijó,"34,884",2020
Jordão,"8,473",2020
Mâncio Lima,"19,311",2020
Manoel Urbano,"9,581",2020
Marechal Thaumaturgo,"19,299",2020
Plácido de Castro,"19,955",2020
Porto Walter,"12,241",2020
Rio Branco,"413,418",2020
Rodrigues Alves,"19,351",2020
Santa Rosa do Purus,"6,717",2020
Senador Guiomard,"23,236",2020
Sena Madureira,"46,511",2020
Tarauacá,"43,151",2020
Xapuri,"19,596",2020
Porto Acre,"18,824",2020
Alvarães,"16,220",2020
Amaturá,"11,736",2020
Anamã,"13,956",2020
Anori,"21,477",2020
Apuí,"22,359",2020
Atalaia do Norte,"20,398",2020
Autazes,"40,290",2020
Barcelos,"27,638",2020
Barreirinha,"32,483",2020
Benjamin Constant,"43,935",2020
Beruri,"20,093",2020
Boa Vista do Ramos,"19,626",2020
Boca do Acre,"34,635",2020
Borba,"41,748",2020
Caapiranga,"13,283",2020
Canutama,"15,807",2020
Carauari,"28,508",2020
Careiro,"38,348",2020
Careiro da Várzea,"30,846",2020
Coari,"85,910",2020
