NOME_MUNICIPIO,NUM_HABITANTES,ANO
Alta Floresta D'Oeste,27563,2003
Alto Alegre dos Parecis,13852,2003
Alto Paraíso,14532,2003
Alvorada D'Oeste,19711,2003
Ariquemes,79680,2003
Buritis,32774,2003
Cabixi,7478,2003
Cacaulândia,5411,2003
Cacoal,74758,2003
Campo Novo de Rondônia,14446,2003
Candeias do Jamari,14874,2003
Castanheiras,4162,2003
Cerejeiras,17794,2003
Chupinguaia,5991,2003
Colorado do Oeste,20412,2003
Corumbiara,10022,2003
Costa Marques,10255,2003
Cujubim,7662,2003
Espigão D'Oeste,26468,2003
Governador Jorge Teixeira,15785,2003
Guajará-Mirim,39728,2003
Itapuã do Oeste,7604,2003
Jaru,54701,2003
Ji-Paraná,109573,2003
Machadinho D'Oeste,25645,2003
Ministro Andreazza,11292,2003
Mirante da Serra,13570,2003
Monte Negro,14400,2003
Nova Brasilândia D'Oeste,17458,2003
Nova Mamoré,17098,2003
Nova União,8772,2003
Novo Horizonte do Oeste,12543,2003
Ouro Preto do Oeste,40822,2003
Parecis,3448,2003
Pimenta Bueno,31612,2003
Pimenteiras do Oeste,2571,2003
Porto Velho,353961,2003
Presidente Médici,25926,2003
Primavera de Rondônia,4345,2003
Rio Crespo,3215,2003
Rolim de Moura,48434,2003
Santa Luzia D'Oeste,11380,2003
São Felipe D'Oeste,7143,2003
São Francisco do Guaporé,14370,2003
São Miguel do Guaporé,26927,2003
Seringueiras,13584,2003
Teixeirópolis,5733,2003
Theobroma,12468,2003
Urupá,16081,2003
Vale do Anari,9081,2003
Vale do Paraíso,10105,2003
Vilhena,58687,2003
Acrelândia,8695,2003
Assis Brasil,3667,2003
Brasiléia,17944,2003
Bujari,6641,2003
Capixaba,6096,2003
Cruzeiro do Sul,73488,2003
Epitaciolândia,12137,2003
Feijó,29480,2003
Jordão,4529,2003
Mâncio Lima,12097,2003
Manoel Urbano,6905,2003
Marechal Thaumaturgo,8362,2003
Plácido de Castro,16031,2003
Porto Acre,12116,2003
Porto Walter,5189,2003
Rio Branco,274555,2003
Rodrigues Alves,8540,2003
Santa Rosa do Purus,2729,2003
Sena Madureira,31029,2003
Senador Guiomard,21174,2003
Tarauacá,26834,2003
Xapuri,12357,2003
Alvarães,13278,2003
Amaturá,8100,2003
Anamã,6729,2003
Anori,12038,2003
Apuí,16369,2003
Atalaia do Norte,10682,2003
Autazes,26575,2003
Barcelos,28252,2003
Barreirinha,24508,2003
Benjamin Constant,24731,2003
Beruri,12148,2003
Boa Vista do Ramos,11399,2003
Boca do Acre,27561,2003
Borba,32131,2003
Caapiranga,9410,2003
Canutama,10301,2003
Carauari,24691,2003
Careiro,26241,2003
Careiro da Várzea,16992,2003
Coari,75850,2003
Codajás,18753,2003
Eirunepé,27831,2003
Envira,19898,2003
Fonte Boa,36150,2003
Guajará,13751,2003
Humaitá,30949,2003
Ipixuna,16332,2003
Iranduba,36439,2003
Itacoatiara,76217,2003
Itamarati,8197,2003
Itapiranga,7978,2003
Japurá,10133,2003
Juruá,7058,2003
Jutaí,24844,2003
Lábrea,27694,2003
Manacapuru,78785,2003
Manaquiri,13325,2003
Manaus,1527314,2003
Manicoré,38094,2003
Maraã,18694,2003
Maués,42974,2003
Nhamundá,16003,2003
Nova Olinda do Norte,27045,2003
Novo Airão,8304,2003
Novo Aripuanã,18809,2003
Parintins,99813,2003
Pauini,17109,2003
Presidente Figueiredo,20569,2003
Rio Preto da Eva,20990,2003
Santa Isabel do Rio Negro,9064,2003
Santo Antônio do Içá,31601,2003
