NOME_MUNICIPIO,NUM_HABITANTES,ANO
Alta Floresta D'Oeste,29001,2004
Alto Alegre dos Parecis,15449,2004
Alto Paraíso,16504,2004
Alvorada D'Oeste,19543,2004
Ariquemes,86901,2004
Buritis,42686,2004
Cabixi,7421,2004
Cacaulândia,5464,2004
Cacoal,76417,2004
Campo Novo de Rondônia,18606,2004
Candeias do Jamari,17338,2004
Castanheiras,4092,2004
Cerejeiras,17217,2004
Chupinguaia,6647,2004
Colorado do Oeste,18349,2004
Corumbiara,9411,2004
Costa Marques,11731,2004
Cujubim,9233,2004
Espigão D'Oeste,27556,2004
Governador Jorge Teixeira,18777,2004
Guajará-Mirim,42075,2004
Itapuã do Oeste,8695,2004
Jaru,56238,2004
Ji-Paraná,113441,2004
Machadinho D'Oeste,29698,2004
Ministro Andreazza,11223,2004
Mirante da Serra,14150,2004
Monte Negro,16874,2004
Nova Brasilândia D'Oeste,18003,2004
Nova Mamoré,20333,2004
Nova União,9524,2004
Novo Horizonte do Oeste,12915,2004
Ouro Preto do Oeste,40735,2004
Parecis,3205,2004
Pimenta Bueno,31416,2004
Pimenteiras do Oeste,2633,2004
Porto Velho,380884,2004
Presidente Médici,25314,2004
Primavera de Rondônia,4393,2004
Rio Crespo,3602,2004
Rolim de Moura,49902,2004
Santa Luzia D'Oeste,11068,2004
São Felipe D'Oeste,7266,2004
São Francisco do Guaporé,17600,2004
São Miguel do Guaporé,31185,2004
Seringueiras,16217,2004
Teixeirópolis,5894,2004
Theobroma,14320,2004
Urupá,17756,2004
Vale do Anari,10957,2004
Vale do Paraíso,10441,2004
Vilhena,65785,2004
Acrelândia,10668,2004
Assis Brasil,4852,2004
Brasiléia,16940,2004
Bujari,7654,2004
Capixaba,6287,2004
Cruzeiro do Sul,78785,2004
Epitaciolândia,12820,2004
Feijó,35713,2004
Jordão,4564,2004
Mâncio Lima,11883,2004
Manoel Urbano,7152,2004
Marechal Thaumaturgo,8394,2004
Plácido de Castro,15931,2004
Porto Acre,11497,2004
Porto Walter,5220,2004
Rio Branco,286082,2004
Rodrigues Alves,9347,2004
Santa Rosa do Purus,2954,2004
Sena Madureira,31530,2004
Senador Guiomard,19343,2004
Tarauacá,29490,2004
Xapuri,13222,2004
Alvarães,13884,2004
Amaturá,8525,2004
Anamã,6818,2004
Anori,12423,2004
Apuí,17715,2004
Atalaia do Norte,11023,2004
Autazes,27772,2004
Barcelos,30429,2004
Barreirinha,25545,2004
Benjamin Constant,25542,2004
Beruri,12744,2004
Boa Vista do Ramos,11892,2004
Boca do Acre,27997,2004
Borba,34018,2004
Caapiranga,9736,2004
Canutama,10067,2004
Carauari,25373,2004
