NOME_MUNICIPIO,NUM_HABITANTES,ANO
Alta Floresta D'Oeste,27237,2002
Alto Alegre dos Parecis,13490,2002
Alto Paraíso,14084,2002
Alvorada D'Oeste,19750,2002
Ariquemes,78039,2002
Buritis,30521,2002
Cabixi,7490,2002
Cacaulândia,5398,2002
Cacoal,74381,2002
Campo Novo de Rondônia,13500,2002
Candeias do Jamari,14314,2002
Castanheiras,4178,2002
Cerejeiras,17925,2002
Chupinguaia,5842,2002
Colorado do Oeste,20881,2002
Corumbiara,10160,2002
Costa Marques,9919,2002
Cujubim,7305,2002
Espigão D'Oeste,26221,2002
Governador Jorge Teixeira,15106,2002
Guajará-Mirim,39194,2002
Itapuã do Oeste,7356,2002
Jaru,54352,2002
Ji-Paraná,108694,2002
Machadinho D'Oeste,24724,2002
Ministro Andreazza,11308,2002
Mirante da Serra,13438,2002
Monte Negro,13838,2002
Nova Brasilândia D'Oeste,17334,2002
Nova Mamoré,16362,2002
Nova União,8601,2002
Novo Horizonte do Oeste,12458,2002
Ouro Preto do Oeste,40841,2002
Parecis,3503,2002
Pimenta Bueno,31656,2002
Pimenteiras do Oeste,2557,2002
Porto Velho,347844,2002
Presidente Médici,26065,2002
Primavera de Rondônia,4334,2002
Rio Crespo,3127,2002
Rolim de Moura,48101,2002
Santa Luzia D'Oeste,11450,2002
São Felipe D'Oeste,7116,2002
São Francisco do Guaporé,13636,2002
São Miguel do Guaporé,25959,2002
Seringueiras,12987,2002
Teixeirópolis,5697,2002
Theobroma,12047,2002
Urupá,15700,2002
Vale do Anari,8655,2002
Vale do Paraíso,10028,2002
Vilhena,57074,2002
Acrelândia,8454,2002
Assis Brasil,3611,2002
Brasiléia,17649,2002
Bujari,6382,2002
Capixaba,5814,2002
Cruzeiro do Sul,71571,2002
Epitaciolândia,11785,2002
Feijó,28606,2002
Jordão,4505,2002
Mâncio Lima,11779,2002
Manoel Urbano,6737,2002
Marechal Thaumaturgo,8341,2002
Plácido de Castro,15759,2002
Porto Acre,11895,2002
Porto Walter,5283,2002
Rio Branco,267740,2002
Rodrigues Alves,8398,2002
Santa Rosa do Purus,2576,2002
Sena Madureira,30519,2002
Senador Guiomard,20726,2002
Tarauacá,26582,2002
Xapuri,12230,2002
